"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"red","blue_M2_Oligodendrocytes__HumanMeta","Brain",8.53199594329743e-243
"black","brown_M3_Astrocytes__HumanMeta","Brain",3.68330034882637e-194
"black","Astrocyte_probable__Cahoy","Brain",1.40235468105099e-147
"red","turquoise_M9_Oligodendrocyte__CTX","Brain",5.02094400527818e-135
"black","brown_M15_Astrocyte__CTX","Brain",2.76289212358378e-106
"red","Oligodendrocyte_probable__Cahoy","Brain",4.90248121430994e-105
"salmon","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.09955684358793e-95
"darkred","Neuron_probable__Cahoy","Brain",2.38095313608696e-83
"black","Astrocyte_definite__Cahoy","Brain",2.04254687580955e-59
"red","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",1.65477790591408e-58
"pink","Neuron_probable__Cahoy","Brain",1.36509303326772e-56
"darkred","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.35060015817843e-49
"darkred","green_M5_Mitochondria__HumanMeta","Brain",4.6084961371089e-47
"red","turquoise_upAging_oligo__Lu_Aging","Brain",3.26086455580042e-46
"red","Oligodendrocyte_definite__Cahoy","Brain",3.46865440766445e-43
"darkred","red_M11_Neuron__HumanMeta","Brain",3.06266720101622e-37
"darkred","brown_downAD_mitochondrion__Blalock_AD","Brain",2.39452245726588e-36
"lightgreen","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.44849271470501e-36
"darkred","PostSynapticDensity_proteins__Bayes","Brain",4.24785150068562e-36
"red","Oligodendrocyte__ABA","Brain",3.32837559874514e-34
"black","red_ACCandCaudate__HumanChimp","Brain",1.02315836617864e-33
"black","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",2.40422402963841e-32
"black","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.63759924919794e-32
"darkred","Autism_associated_module_M12__Voineagu","Brain",6.26284694565057e-32
"darkred","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",4.19088344998648e-30
"darkgreen","yellow_M18__CTX","Brain",5.7568999277398e-28
"darkred","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",4.49036048640009e-27
"salmon","purple_M4_Microglia(Type1)__CTX","Brain",6.47962557646262e-26
"salmon","upInFrontalCortex__EarlyAD","Brain",9.83539502541015e-26
"pink","Autism_associated_module_M12__Voineagu","Brain",3.66156405966573e-25
"darkgreen","blue_M16_Neuron__CTX","Brain",4.02284005490527e-25
"darkred","purple_downAD_synapticTransmission__Blalock_AD","Brain",1.50630873217824e-24
"darkred","blue_Cortex__HumanChimp","Brain",2.12783272220282e-23
"pink","PostSynapticDensity_proteins__Bayes","Brain",5.54706893634495e-22
"darkgreen","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.13223113707781e-20
"magenta","Autism_associated_module_M12__Voineagu","Brain",4.33442379530434e-19
"lightgreen","blue_M16_Neuron__CTX","Brain",6.46694786240762e-16
"cyan","Neuron_probable__Cahoy","Brain",9.16704776245573e-16
"pink","Neuron_definite__Cahoy","Brain",1.02893277924072e-15
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",3.20450411722163e-15
"magenta","Somatic__MitochondrialType","Brain",1.5524675825956e-14
"red","black_WhiteMatter__HumanChimp","Brain",1.68096015788081e-14
"darkred","pink_downAD_synapticTransmission__Blalock_AD","Brain",4.53053920224181e-14
"yellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",4.64921352237e-14
"brown","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",3.07281625236925e-13
"darkred","PresynapticCompartmentProteins_Morciano__MO","Brain",3.71050117898849e-13
